	rsid	Feature_type	Consequence	CADD_PHRED	CADD_RAW
0	rs1050979	Transcript	3_prime_UTR_variant	5.587	0.414478
1	rs9405661	-	intergenic_variant	1.898	0.077535
3	rs4320356	Transcript	intron_variant,non_coding_transcript_variant	1.191	-0.02426
5	rs9268645	RegulatoryFeature	regulatory_region_variant	6.421	0.492028
6	rs9268645	RegulatoryFeature	regulatory_region_variant	6.859	0.5343
8	rs138748427	Transcript	downstream_gene_variant	0.404	-0.247119
9	rs9272346	Transcript	upstream_gene_variant	3.28	0.21363
11	rs9273363	RegulatoryFeature	regulatory_region_variant	0.699	-0.135691
14	rs9273367	RegulatoryFeature	regulatory_region_variant	0.955	-0.07049
15	rs9273367	RegulatoryFeature	regulatory_region_variant	0.895	-0.083976
18	rs1770	RegulatoryFeature	regulatory_region_variant	0.627	-0.158208
21	rs2647044	-	intergenic_variant	1.956	0.084528
22	rs17711850	RegulatoryFeature	regulatory_region_variant	11.37	0.979586
24	rs3757247	Transcript	intron_variant	2.041	0.094345
25	rs11755527	Transcript	intron_variant	4.505	0.318663
28	rs72928038	Transcript	intron_variant	19.51	2.032881
30	rs2045258	Transcript	downstream_gene_variant	7.953	0.646002
32	rs9388489	Transcript	intron_variant,non_coding_transcript_variant	4.098	0.283623
33	rs1578060	Transcript	intron_variant,non_coding_transcript_variant	0.349	-0.277026
34	rs1538171	Transcript	intron_variant,non_coding_transcript_variant	1.016	-0.057526
35	rs12665429	Transcript	intron_variant,non_coding_transcript_variant	3.738	0.25288
37	rs212408	Transcript	intron_variant,non_coding_transcript_variant	3.735	0.252655
45	rs924043	RegulatoryFeature	regulatory_region_variant	3.557	0.237424
